survived,sex,age,sibsp,parch,fare,embarked,embark_town,who,fare_raw,sex_encoded,embarked_encoded,pclass_1,pclass_2,pclass_3,age_scaled,fare_scaled,sibsp_scaled,parch_scaled,family_size,is_alone,age_group,title,fare_per_person,fare_band
1,female,59.20231498571705,0,0,32.10090090069137,S,Southampton,woman,32.10090090069137,0,2,0,1,0,0.8104866402590534,0.059966303754924934,0.0,0.0,1,1,Adult,Mrs/Miss,32.10090090069137,Business
1,female,20.519991077953264,0,2,7.8665882097755375,S,Southampton,woman,7.8665882097755375,0,2,0,0,1,0.2764104841646283,0.0091552415033802,0.0,0.3333333333333333,3,0,Young Adult,Mrs/Miss,2.622196069925179,Budget
0,male,39.3893352081303,0,0,10.876357767774572,S,Southampton,man,10.876357767774572,1,2,0,0,1,0.5369343039097291,0.015465698512198874,0.0,0.0,1,1,Adult,Mr,10.876357767774572,Budget
1,female,33.190096125690886,0,0,13.574281392214887,C,Cherbourg,woman,13.574281392214887,0,0,0,0,1,0.45134312309664815,0.0211223212924577,0.0,0.0,1,1,Young Adult,Mrs/Miss,13.574281392214887,Economy
1,male,47.22437805158317,2,0,97.33101893340532,S,Southampton,man,97.33101893340532,1,2,1,0,0,0.6451105751866103,0.19673154361577055,0.25,0.0,3,0,Adult,Mr,32.443672977801775,Premium
0,male,28.93634720645708,1,0,134.32145640708174,S,Southampton,man,134.32145640708174,1,2,1,0,0,0.39261278731867705,0.274287835191202,0.125,0.0,2,0,Young Adult,Mr,67.16072820354087,Premium
1,female,29.44805808692073,4,0,110.12905497328268,S,Southampton,woman,110.12905497328268,0,2,1,0,0,0.3996778380307639,0.22356464650642846,0.5,0.0,5,0,Young Adult,Mrs/Miss,22.025810994656535,Premium
0,male,18.452149815153437,0,1,8.331440556436695,S,Southampton,man,8.331440556436695,1,2,0,0,1,0.24786037130990612,0.01012987783102115,0.0,0.16666666666666666,2,0,Young Adult,Mr,4.165720278218347,Budget
0,male,35.43961000114763,3,0,11.49536531544174,S,Southampton,man,11.49536531544174,1,2,0,0,1,0.4824015395079713,0.016763545554111574,0.375,0.0,4,0,Adult,Mr,2.873841328860435,Economy
0,male,19.511984823470517,0,0,22.34279373294196,Q,Queenstown,man,22.34279373294196,1,1,0,0,1,0.2624932203777638,0.039506891636188965,0.0,0.0,1,1,Young Adult,Mr,22.34279373294196,Business
0,male,57.18742146537272,0,0,97.6200148813718,S,Southampton,man,97.6200148813718,1,2,1,0,0,0.7826675622519773,0.1973374692423749,0.0,0.0,1,1,Adult,Mr,97.6200148813718,Premium
0,male,30.911494635158324,0,3,5.773671173284584,S,Southampton,man,5.773671173284584,1,2,0,0,1,0.4198831020225159,0.004767110542755809,0.0,0.5,4,0,Young Adult,Mr,1.443417793321146,Budget
0,male,23.88549828163048,0,0,15.956979635811122,S,Southampton,man,15.956979635811122,1,2,0,0,1,0.32287711204701536,0.0261180242994341,0.0,0.0,1,1,Young Adult,Mr,15.956979635811122,Economy
0,male,31.58552428210872,1,0,86.49664406495602,S,Southampton,man,86.49664406495602,1,2,1,0,0,0.4291892430856876,0.17401556635994744,0.125,0.0,2,0,Young Adult,Mr,43.24832203247801,Premium
1,female,10.140231946584253,0,0,22.10404080661437,Q,Queenstown,child,22.10404080661437,0,1,1,0,0,0.13310001834861412,0.03900630843595169,0.0,0.0,1,1,Child,Master,22.10404080661437,Business
