survived,pclass,sex,age,sibsp,parch,fare,embarked,embark_town,who,deck
1,2,female,59.20231498571705,0,0,32.10090090069137,S,Southampton,woman,E
1,3,female,20.519991077953264,0,2,7.8665882097755375,S,Southampton,woman,
0,3,male,39.3893352081303,0,0,10.876357767774573,S,Southampton,man,
1,3,female,33.190096125690886,0,0,13.574281392214889,C,Cherbourg,woman,G
1,1,male,47.22437805158317,2,0,97.33101893340532,S,Southampton,man,
0,1,male,,1,0,134.32145640708174,S,Southampton,man,E
1,1,female,29.44805808692073,4,0,110.12905497328268,S,Southampton,woman,C
0,3,male,18.452149815153433,0,1,8.331440556436695,S,Southampton,man,
0,3,male,35.43961000114763,3,0,11.49536531544174,S,Southampton,man,D
0,3,male,19.511984823470513,0,0,22.342793732941956,Q,Queenstown,man,
0,1,male,57.18742146537272,0,0,97.62001488137179,S,Southampton,man,G
0,3,male,30.911494635158324,0,3,5.773671173284584,S,Southampton,man,
0,3,male,23.88549828163048,0,0,15.956979635811122,S,Southampton,man,
0,1,male,31.585524282108718,1,0,86.49664406495602,S,Southampton,man,C
1,1,female,10.140231946584251,0,0,22.104040806614375,Q,Queenstown,child,
1,1,female,15.397403460850878,0,0,78.71390231568178,S,Southampton,child,
0,2,male,45.80579471122196,0,0,20.8931317518204,S,Southampton,man,
0,3,male,,0,0,11.884382971978626,S,Southampton,man,
0,2,male,14.343246242452846,0,1,43.38153645349198,S,Southampton,child,
0,2,male,36.513138535382005,0,0,16.142490115530496,S,Southampton,man,C
0,3,male,45.59985816528196,1,1,12.59124538335949,S,Southampton,man,F
0,1,male,39.065346349310936,1,0,22.632825180050688,S,Southampton,man,
0,2,male,42.94466760128143,0,0,27.10735814241035,S,Southampton,man,
0,2,male,18.404868760027547,0,0,42.39751592133772,S,Southampton,man,
0,3,male,9.09465066561419,0,0,14.476669348060826,S,Southampton,child,
0,3,male,50.01867112737681,1,0,6.05915057161783,S,Southampton,man,G
1,1,female,,0,0,45.43877056021692,S,Southampton,woman,
0,3,female,25.488337769629336,0,0,7.2734584352778615,C,Cherbourg,woman,F
0,3,male,47.59471798588681,0,0,7.139614002712559,C,Cherbourg,man,
1,1,female,,0,6,104.54294642134474,S,Southampton,woman,B
0,3,male,35.38242880914251,0,0,27.2103102200627,S,Southampton,man,
1,1,female,59.31003282861518,1,2,139.21308921862115,S,Southampton,woman,G
1,1,female,19.990744774678,0,0,209.31483574949587,S,Southampton,woman,
0,3,male,,0,0,23.13335216368755,C,Cherbourg,man,D
0,3,male,29.798183748559183,1,0,5.6316370700381615,S,Southampton,man,
0,3,male,32.7602919040856,1,0,6.340472285123057,S,Southampton,man,
0,2,male,50.39855796977544,0,0,41.919787372981794,C,Cherbourg,man,G
0,1,male,36.109700588054736,0,0,145.40276014017599,C,Cherbourg,man,
0,3,male,36.53614510669486,0,2,11.95427424704507,S,Southampton,man,C
0,2,male,,2,1,18.29160780349578,S,Southampton,man,
1,1,female,23.890661786399605,0,0,46.57019410961644,S,Southampton,woman,
1,3,female,17.251064657253913,2,0,15.790549505550805,S,Southampton,child,
0,1,male,14.37267128370553,1,0,153.91706215298737,Q,Queenstown,child,
0,3,male,1.4710077487359747,0,0,3.5987542410455973,C,Cherbourg,child,
0,2,male,57.78689981916451,0,0,12.020177686990579,C,Cherbourg,man,
0,3,male,13.555082879896435,0,2,12.337651060667193,S,Southampton,child,
1,2,female,25.90244926979919,0,0,37.760808111550745,C,Cherbourg,woman,
